StudyHours,Attendance,PreviousScore,Result
2,51,82,Pass
2,93,82,Pass
9,55,72,Pass
4,64,67,Pass
10,51,70,Pass
9,76,49,Pass
8,87,52,Pass
3,94,62,Pass
6,67,44,Pass
2,55,59,Pass
2,72,89,Pass
1,96,64,Pass
9,57,94,Pass
10,73,71,Pass
4,95,39,Pass
5,55,89,Pass
4,56,59,Fail
6,60,58,Pass
6,63,77,Pass
2,88,75,Pass
3,84,81,Pass
5,90,79,Pass
9,64,78,Pass
1,64,87,Pass
1,70,60,Fail
10,95,55,Pass
4,91,66,Fail
8,59,51,Pass
3,65,82,Pass
10,77,92,Pass
10,75,58,Pass
9,81,40,Pass
1,57,44,Fail
7,88,39,Fail
7,74,73,Pass
9,50,78,Pass
2,93,91,Pass
6,57,53,Pass
7,60,64,Pass
5,82,83,Pass
3,82,93,Pass
9,88,47,Pass
3,73,83,Pass
9,50,73,Pass
6,81,36,Pass
5,65,38,Pass
4,86,95,Pass
2,98,69,Pass
3,58,77,Fail
5,83,90,Pass
10,77,48,Pass
4,95,54,Pass
7,92,76,Pass
8,57,50,Pass
4,54,56,Pass
10,64,35,Pass
2,95,75,Pass
1,71,39,Fail
9,65,52,Pass
3,96,94,Pass
10,86,65,Pass
7,62,41,Pass
2,92,62,Fail
1,93,76,Pass
2,53,60,Fail
2,65,47,Fail
4,84,63,Pass
8,65,90,Pass
2,78,86,Pass
1,91,69,Fail
1,55,94,Pass
7,81,65,Pass
4,75,92,Pass
7,66,94,Pass
8,68,62,Pass
9,92,80,Pass
8,59,47,Pass
10,97,69,Pass
1,97,55,Pass
9,83,45,Pass
1,82,40,Fail
2,93,90,Pass
4,75,42,Pass
10,88,37,Pass
10,55,61,Pass
6,66,48,Fail
6,65,51,Fail
5,79,55,Pass
2,50,64,Fail
2,54,69,Fail
4,82,51,Pass
2,65,58,Pass
5,60,63,Pass
10,91,68,Pass
1,92,87,Fail
2,58,51,Fail
2,56,82,Fail
10,63,80,Pass
6,63,78,Pass
8,66,92,Pass
1,55,75,Fail
1,71,84,Pass
3,90,51,Pass
7,85,35,Pass
2,54,95,Pass
9,52,88,Pass
6,87,70,Pass
5,73,92,Pass
1,72,48,Fail
6,99,70,Pass
7,89,82,Pass
